"old_name","new_name"
"X1","word_freq_make"
"X2","word_freq_address"
"X3","word_freq_all"
"X4","word_freq_3d"
"X5","word_freq_our"
"X6","word_freq_over"
"X7","word_freq_remove"
"X8","word_freq_internet"
"X9","word_freq_order"
"X10","word_freq_mail"
"X11","word_freq_receive"
"X12","word_freq_will"
"X13","word_freq_people"
"X14","word_freq_report"
"X15","word_freq_addresses"
"X16","word_freq_free"
"X17","word_freq_business"
"X18","word_freq_email"
"X19","word_freq_you"
"X20","word_freq_credit"
"X21","word_freq_your"
"X22","word_freq_font"
"X23","word_freq_000"
"X24","word_freq_money"
"X25","word_freq_hp"
"X26","word_freq_hpl"
"X27","word_freq_george"
"X28","word_freq_650"
"X29","word_freq_lab"
"X30","word_freq_labs"
"X31","word_freq_telnet"
"X32","word_freq_857"
"X33","word_freq_data"
"X34","word_freq_415"
"X35","word_freq_85"
"X36","word_freq_technology"
"X37","word_freq_1999"
"X38","word_freq_parts"
"X39","word_freq_pm"
"X40","word_freq_direct"
"X41","word_freq_cs"
"X42","word_freq_meeting"
"X43","word_freq_original"
"X44","word_freq_project"
"X45","word_freq_re"
"X46","word_freq_edu"
"X47","word_freq_table"
"X48","word_freq_conference"
"X49","char_freq_semicolon"
"X50","char_freq_leftparanthesis"
"X51","char_freq_leftsquarebracket"
"X52","char_freq_exclamation"
"X53","char_freq_dollarsign"
"X54","char_freq_hashtag"
"X55","capital_run_length_average"
"X56","capital_run_length_longest"
"X57","capital_run_length_total"
"X58","spam"
