training_size,model_type,trial_id,lambda,df,aicc
108,lasso,1,0.17298727035066122,0,-1.7053025658242404e-13
108,lasso,1,0.1576195580256037,5,5.923755305211229
108,lasso,1,0.14361707090831435,7,4.073106883540546
108,lasso,1,0.13085852615405336,8,-0.7423755182640526
108,lasso,1,0.11923341535173809,8,-7.515029339228532
108,lasso,1,0.10864104735295256,9,-11.612046184558773
108,lasso,1,0.09898967613338963,9,-17.633617781393863
108,lasso,1,0.09019570613267897,10,-20.602696981366606
108,lasso,1,0.0821829681896345,11,-23.176133724819866
108,lasso,1,0.07488205980141895,13,-23.051101567788514
108,lasso,1,0.06822974399226578,13,-27.92753592473327
108,lasso,1,0.062168401585047134,13,-32.334419971589206
108,lasso,1,0.056645532131526094,15,-31.056359561397624
108,lasso,1,0.05161329917858982,16,-32.066959968816555
108,lasso,1,0.04702811593177721,18,-29.839964399534317
108,lasso,1,0.04285026772731688,20,-27.24337403258643
108,lasso,1,0.03904356804270865,20,-30.33403771733917
108,lasso,1,0.03557504506637705,22,-27.06459033466771
108,lasso,1,0.03241465611161285,21,-32.970561941461284
108,lasso,1,0.029535027401192952,21,-35.49962503715565
108,lasso,1,0.026911216968817465,22,-34.69830324049238
108,lasso,1,0.024520498623729643,22,-36.87696086368939
108,lasso,1,0.02234216510732356,23,-35.69079028744842
108,lasso,1,0.020357348736776252,25,-30.929945403146338
108,lasso,1,0.018548857982205222,27,-25.812966825585296
108,lasso,1,0.016901028561860904,27,-27.627493766565653
108,lasso,1,0.015399587765611785,27,-29.331792561965234
108,lasso,1,0.014031530831557204,27,-30.914013975142655
108,lasso,1,0.012785008305001124,26,-35.96048681184547
108,lasso,1,0.011649223404144244,27,-33.88005944242374
108,lasso,1,0.010614338503525132,27,-35.27666035896796
108,lasso,1,0.009671389925214716,27,-36.60989717334297
108,lasso,1,0.008812210299726217,28,-34.331396687161075
108,lasso,1,0.00802935782416784,28,-35.61495539490899
108,lasso,1,0.007316051804906238,28,-36.822391541084315
108,lasso,1,0.006666113926442067,29,-34.28189313480884
108,lasso,1,0.006073914737796799,30,-31.589097520522337
108,lasso,1,0.0055343248929014205,30,-32.76115641644348
108,lasso,1,0.005042670722654618,32,-25.925451194665264
108,lasso,1,0.004594693753836868,32,-26.971495034551644
108,lasso,1,0.004186513824252624,32,-27.95573024446977
108,lasso,1,0.0038145954746216177,33,-24.82470282706292
108,lasso,1,0.003475717326121906,33,-25.821601660261493
108,lasso,1,0.0031669441783475946,34,-22.564559441881727
108,lasso,1,0.0028856015860070977,34,-23.545487773320346
108,lasso,1,0.002629252694157454,34,-24.53258894980496
108,lasso,1,0.0023956771313325812,34,-25.54589772410472
108,lasso,1,0.0021828517777478435,34,-26.594349126769856
108,lasso,1,0.0019889332420043207,34,-27.680835152955268
108,lasso,1,0.001812241894514372,34,-28.80500619131712
108,lasso,1,0.0016512473193536711,34,-29.944139904070113
108,lasso,1,0.0015045550585306045,35,-26.68202266917301
108,lasso,1,0.0013708945338582468,35,-27.857936575712174
108,lasso,1,0.001249108041813939,35,-29.009915582995617
108,lasso,1,0.0011381407260652105,34,-34.471854575829724
108,lasso,1,0.0010370314408088613,34,-35.498040163432876
108,lasso,1,9.449044257858189e-4,34,-36.46972221587157
108,lasso,1,8.609617208647306e-4,34,-37.38271348799552
108,lasso,1,7.844762544930424e-4,34,-38.24107181926402
108,lasso,1,7.147855461510365e-4,34,-39.05094600226164
108,lasso,1,6.512859682624937e-4,33,-44.05418323322668
108,lasso,1,5.934275178613988e-4,33,-44.71865456297745
108,lasso,1,5.407090527293659e-4,33,-45.363497380266054
108,lasso,1,4.926739507414845e-4,32,-50.10773033054718
108,lasso,1,4.489061548239178e-4,30,-58.635464592490614
108,lasso,1,4.090265692665675e-4,30,-59.18712979051357
108,lasso,1,3.726897761773887e-4,28,-67.25540377839182
108,lasso,1,3.395810436378543e-4,28,-67.7558312948715
108,lasso,1,3.0941359964564155e-4,28,-68.22462697953505
108,lasso,1,2.8192614823273733e-4,28,-68.68109608988514
108,lasso,1,2.568806062447649e-4,28,-69.1046376720793
108,lasso,1,2.3406004117859777e-4,30,-61.93645260525533
108,lasso,1,2.1326679221679606e-4,30,-62.27844419551791
108,lasso,1,1.9432075818416527e-4,29,-66.40954537335345
108,lasso,1,1.7705783759753554e-4,28,-70.41266499973939
108,lasso,1,1.6132850729721918e-4,28,-70.66503216054876
108,lasso,1,1.4699652734893203e-4,28,-70.89424785638111
108,lasso,1,1.339377609986588e-4,29,-67.37726676556152
108,lasso,1,1.2203909945947564e-4,29,-67.56756254157885
108,lasso,1,1.1119748221734814e-4,28,-71.46598733171363
108,lasso,1,1.0131900437026203e-4,28,-71.62585844986002
108,lasso,1,9.231810326888526e-5,28,-71.770524129251
108,lasso,1,8.411681741383185e-5,29,-68.17827797790075
108,lasso,1,7.664411119045041e-5,29,-68.29937276776839
108,lasso,1,6.98352595923128e-5,29,-68.40929550925527
108,lasso,1,6.363128760417239e-5,29,-68.50889088505672
108,lasso,1,5.7978459388595076e-5,29,-68.59965726399479
108,lasso,1,5.2827812851842253e-5,29,-68.68175409913145
108,lasso,1,4.813473555763785e-5,29,-68.75683303336281
108,lasso,1,4.385857831558755e-5,29,-68.82478176500409
108,lasso,1,3.9962303097337784e-5,29,-68.88654260657823
108,lasso,1,3.6412162230892846e-5,29,-68.94252020162868
108,lasso,1,3.3177406094424646e-5,29,-68.99362530856739
108,lasso,1,3.0230016777758792e-5,29,-69.03845517525811
108,lasso,1,2.7544465404640183e-5,29,-69.0801516919616
108,lasso,1,2.5097491013819695e-5,28,-72.84415270120856
108,lasso,1,2.2867899083735677e-5,28,-72.87936903272104
108,lasso,1,2.083637795570747e-5,28,-72.91155561681863
108,lasso,1,1.898533156558644e-5,28,-72.94098473492063
108,lasso,1,1.729872703506614e-5,28,-72.96783341063137
540,lasso,1,0.18321327815886554,0,6.707523425575346e-12
540,lasso,1,0.16693711548418572,2,-15.338597965194257
540,lasso,1,0.15210688224254038,3,-38.82456591417191
540,lasso,1,0.13859412604824725,3,-62.558683152610925
540,lasso,1,0.12628180587153848,5,-83.3244495063706
540,lasso,1,0.11506327828515217,6,-106.38596653625903
540,lasso,1,0.10484137376998277,7,-127.4012303576166
540,lasso,1,0.09552755507919167,7,-148.9749754702106
540,lasso,1,0.08704115037093048,9,-166.76048750707253
540,lasso,1,0.07930865446743976,10,-185.58898504110292
540,lasso,1,0.07226309218836342,11,-202.6210075226673
540,lasso,1,0.06584343824377689,11,-220.1889719480784
540,lasso,1,0.05999408866231976,11,-236.1091914765757
540,lasso,1,0.0546643791761963,12,-248.53996105129661
540,lasso,1,0.04980814639152518,14,-258.3995417387621
540,lasso,1,0.045383327943105845,14,-271.69400378706007
540,lasso,1,0.04135159817033342,15,-282.01534401521707
540,lasso,1,0.03767803615866122,16,-291.75242517511117
540,lasso,1,0.03433082327134482,16,-302.8786531220045
540,lasso,1,0.03128096755163232,16,-313.2694493326269
540,lasso,1,0.028502052608304494,18,-319.1176733867155
540,lasso,1,0.025970008809531393,19,-327.32456459059426
540,lasso,1,0.02366290480323616,20,-334.76413866343984
540,lasso,1,0.02156075755821511,20,-343.53528911735106
540,lasso,1,0.019645359280681146,21,-349.3795873633727
540,lasso,1,0.017900119707064437,21,-356.8120379249775
540,lasso,1,0.016309922407086015,22,-361.4272004819269
540,lasso,1,0.014860993852470267,24,-363.4064303850484
540,lasso,1,0.013540784117232151,25,-367.1257978890061
540,lasso,1,0.01233785817622209,25,-372.5401433878158
540,lasso,1,0.011241796860408543,25,-377.442419248914
540,lasso,1,0.010243106611020302,26,-379.6741300229189
540,lasso,1,0.009333137250882048,27,-381.5058043107935
540,lasso,1,0.008504007060717828,28,-383.0122215042507
540,lasso,1,0.007748534511469236,30,-381.96127977998515
540,lasso,1,0.007060176061326295,30,-385.238004911944
540,lasso,1,0.006432969478698667,33,-381.4967242582574
540,lasso,1,0.005861482200217899,33,-384.4636263507967
540,lasso,1,0.005340764276472423,34,-384.98687302257224
540,lasso,1,0.004866305497913759,35,-385.3540146072179
540,lasso,1,0.004433996329579059,35,-387.81935208449204
540,lasso,1,0.004040092316265219,36,-387.77810104930893
540,lasso,1,0.003681181649849228,38,-385.26326348945673
540,lasso,1,0.0033541556178383865,38,-387.28536927770256
540,lasso,1,0.003056181677189876,38,-389.10819680982473
540,lasso,1,0.002784678920177986,39,-388.4777341310891
540,lasso,1,0.002537295719806078,39,-390.07592810337593
540,lasso,1,0.00231188936113854,39,-391.5244319725699
540,lasso,1,0.00210650748212907,39,-392.83615821984824
540,lasso,1,0.001919371163194623,39,-394.00790554396207
540,lasso,1,0.0017488595190650051,39,-395.0782584081511
540,lasso,1,0.001593495659450079,39,-396.0437969564935
540,lasso,1,0.0014519338969226031,40,-394.64472288664155
540,lasso,1,0.0013229480912175017,41,-393.1513600383211
540,lasso,1,0.0012054210289914645,41,-393.9048771535465
540,lasso,1,0.001098334747055432,42,-392.2701801095758
540,lasso,1,0.001000761715264436,42,-392.9217534621991
540,lasso,1,9.11856802695208e-4,43,-391.1583063753212
540,lasso,1,8.308499575264236e-4,44,-389.7554127333578
540,lasso,1,7.570395372182133e-4,44,-390.6334830131649
540,lasso,1,6.897862312201417e-4,44,-391.4049616715829
540,lasso,1,6.285075235690604e-4,46,-387.31198593728453
540,lasso,1,5.726726474145059e-4,46,-387.9115129267347
540,lasso,1,5.21797987770155e-4,46,-388.436534726793
540,lasso,1,4.754428926721708e-4,46,-388.89189900347884
540,lasso,1,4.332058564626959e-4,46,-389.29511725391495
540,lasso,1,3.94721042139921e-4,46,-389.64439226218263
540,lasso,1,3.596551126529886e-4,46,-389.94869798080555
540,lasso,1,3.277043436959239e-4,46,-390.21591742149775
540,lasso,1,2.9859199299299557e-4,46,-390.4423559779569
540,lasso,1,2.720659032895147e-4,45,-393.03243714076416
540,lasso,1,2.478963182863243e-4,45,-393.1981027142198
540,lasso,1,2.2587389260064983e-4,45,-393.34017405557313
540,lasso,1,2.058078785165421e-4,46,-391.0776910459104
540,lasso,1,1.875244738194143e-4,47,-388.79018918066413
540,lasso,1,1.7086531640440444e-4,47,-388.8887703114251
540,lasso,1,1.5568611261958227e-4,47,-388.9755468334424
540,lasso,1,1.4185538746336503e-4,47,-389.05202530845554
540,lasso,1,1.292533458109503e-4,47,-389.1195416429804
540,lasso,1,1.1777083480625389e-4,47,-389.17925606834683
540,lasso,1,1.0730839843208829e-4,47,-389.23160259715314
540,lasso,1,9.77754160697206e-5,48,-386.8700213449208
540,lasso,1,8.908931758642533e-5,48,-386.91851401198016
540,lasso,1,8.117486815249543e-5,48,-386.964513638374
540,lasso,1,7.39635165931392e-5,48,-387.00533741404155
540,lasso,1,6.739280163099843e-5,48,-387.0416635296353
540,lasso,1,6.140581087644497e-5,48,-387.07402599247024
540,lasso,1,5.5950687879688084e-5,48,-387.1025029270196
540,lasso,1,5.09801829750141e-5,48,-387.12770677162683
540,lasso,1,4.6451244026785784e-5,48,-387.1500667136269
540,lasso,1,4.2324643532439295e-5,48,-387.1699443258545
540,lasso,1,3.8564638852623e-5,48,-387.1876489171685
540,lasso,1,3.513866262555446e-5,48,-387.2031871475699
540,lasso,1,3.2017040684112534e-5,48,-387.2174047933508
540,lasso,1,2.9172735032397725e-5,48,-387.2225665480161
1347,lasso,1,0.17875697003802477,0,2.5920599000528455e-11
1347,lasso,1,0.16287669349470055,1,-28.30108989460269
1347,lasso,1,0.14840717695160913,2,-66.19566187437522
1347,lasso,1,0.1352230923785473,4,-119.72619973025542
1347,lasso,1,0.12321024554209656,8,-186.91924205457
1347,lasso,1,0.11226458690980287,8,-262.6063294152952
1347,lasso,1,0.10229131042290286,8,-329.74593364743276
1347,lasso,1,0.09320403233159724,8,-389.8765945546481
1347,lasso,1,0.08492404298033532,10,-443.52049950758266
1347,lasso,1,0.0773796250624326,10,-496.20574372675134
1347,lasso,1,0.07050543243906927,11,-542.5005069924242
1347,lasso,1,0.06424192414229678,12,-587.0026685019129
1347,lasso,1,0.05853484865965732,13,-628.7981717481179
1347,lasso,1,0.05333477403353642,14,-667.354295003874
1347,lasso,1,0.04859665970519387,14,-706.3782501469487
1347,lasso,1,0.04427946639499099,16,-739.2120843103019
1347,lasso,1,0.04034580063978317,17,-771.7664729613028
1347,lasso,1,0.0367615909086309,17,-804.105075643143
1347,lasso,1,0.03349579249149825,17,-834.0216414141677
1347,lasso,1,0.030520118604826053,17,-861.7575555424066
1347,lasso,1,0.027808795384944927,18,-885.505295045957
1347,lasso,1,0.025338338647198116,18,-909.4071939545099
1347,lasso,1,0.023087350477168655,18,-931.4676395224855
1347,lasso,1,0.021036333892181246,19,-949.728550243427
1347,lasso,1,0.01916752396776554,20,-966.5561187610585
1347,lasso,1,0.01746473396637895,22,-980.1974552927983
1347,lasso,1,0.015913215135629644,23,-994.5914500648984
1347,lasso,1,0.014499528961639026,25,-1006.7511611055996
1347,lasso,1,0.013211430771063373,27,-1017.8401736142665
1347,lasso,1,0.012037763673591086,30,-1026.0806194653264
1347,lasso,1,0.010968361926296171,30,-1039.6020746780848
1347,lasso,1,0.009993962882836216,31,-1049.98522662987
1347,lasso,1,0.009106126764840947,34,-1055.4604939629671
1347,lasso,1,0.0082971635605895,34,-1066.703743979293
1347,lasso,1,0.007560066417807735,34,-1076.9652142610034
1347,lasso,1,0.00688845095366585,35,-1084.2819710754004
1347,lasso,1,0.006276499956308547,37,-1088.8301162219798
1347,lasso,1,0.005718912998948843,37,-1097.092642462059
1347,lasso,1,0.0052108605301069266,38,-1102.533313613235
1347,lasso,1,0.004747942042345647,39,-1107.6363489103862
1347,lasso,1,0.0043261479571802645,41,-1110.0279750955904
