training_size,model_type,seeds,df,trial_id,lambda_type,lambda,total,correct,accuracy,misclassification
108,lasso,6973,29,A001,lambda_min,0.074051290020177,2695,2316,0.859369202226345,0.14063079777365495
108,lasso,3333,29,A002,lambda_min,0.074051290020177,2695,2365,0.8775510204081632,0.12244897959183676
108,lasso,3249,29,A003,lambda_min,0.074051290020177,2695,2067,0.7669758812615955,0.23302411873840445
108,lasso,3267,29,A004,lambda_min,0.074051290020177,2695,2089,0.775139146567718,0.22486085343228202
108,lasso,4283,29,A005,lambda_min,0.074051290020177,2695,2157,0.8003710575139147,0.19962894248608531
108,lasso,7341,29,A006,lambda_min,0.074051290020177,2695,2284,0.8474953617810761,0.1525046382189239
108,lasso,924,29,A007,lambda_min,0.074051290020177,2695,2247,0.8337662337662337,0.1662337662337663
108,lasso,2982,29,A008,lambda_min,0.074051290020177,2695,2295,0.8515769944341373,0.14842300556586274
108,lasso,2241,29,A009,lambda_min,0.074051290020177,2695,2270,0.8423005565862709,0.1576994434137291
108,lasso,2441,29,A010,lambda_min,0.074051290020177,2695,2287,0.84860853432282,0.15139146567717998
108,lasso,6768,29,A011,lambda_min,0.074051290020177,2695,2327,0.8634508348794063,0.13654916512059367
108,lasso,4630,29,A012,lambda_min,0.074051290020177,2695,2242,0.8319109461966605,0.1680890538033395
108,lasso,2452,29,A013,lambda_min,0.074051290020177,2695,2277,0.8448979591836735,0.1551020408163265
108,lasso,2846,29,A014,lambda_min,0.074051290020177,2695,2286,0.8482374768089054,0.15176252319109462
108,lasso,8655,29,A015,lambda_min,0.074051290020177,2695,2273,0.8434137291280148,0.15658627087198518
108,lasso,4008,29,A016,lambda_min,0.074051290020177,2695,2236,0.8296846011131725,0.17031539888682745
108,lasso,6691,29,A017,lambda_min,0.074051290020177,2695,2241,0.8315398886827459,0.16846011131725414
108,lasso,4794,29,A018,lambda_min,0.074051290020177,2695,2298,0.8526901669758813,0.1473098330241187
108,lasso,4402,29,A019,lambda_min,0.074051290020177,2695,2251,0.8352504638218924,0.16474953617810761
108,lasso,258,29,A020,lambda_min,0.074051290020177,2695,2259,0.8382189239332096,0.16178107606679037
108,lasso,3755,29,A021,lambda_min,0.074051290020177,2695,2268,0.8415584415584415,0.1584415584415585
108,lasso,1582,29,A022,lambda_min,0.074051290020177,2695,2278,0.8452690166975881,0.15473098330241186
108,lasso,377,29,A023,lambda_min,0.074051290020177,2695,2247,0.8337662337662337,0.1662337662337663
108,lasso,7045,29,A024,lambda_min,0.074051290020177,2695,2290,0.849721706864564,0.15027829313543595
108,lasso,1756,29,A025,lambda_min,0.074051290020177,2695,2307,0.8560296846011132,0.14397031539888683
108,lasso,2861,29,A026,lambda_min,0.074051290020177,2695,2209,0.8196660482374768,0.1803339517625232
108,lasso,6739,29,A027,lambda_min,0.074051290020177,2695,2371,0.8797773654916512,0.1202226345083488
108,lasso,3111,29,A028,lambda_min,0.074051290020177,2695,2240,0.8311688311688312,0.16883116883116878
108,lasso,5336,29,A029,lambda_min,0.074051290020177,2695,2228,0.8267161410018553,0.1732838589981447
108,lasso,6371,29,A030,lambda_min,0.074051290020177,2695,2385,0.8849721706864564,0.1150278293135436
108,lasso,7979,29,A031,lambda_min,0.074051290020177,2695,2265,0.8404452690166976,0.15955473098330242
108,lasso,5209,29,A032,lambda_min,0.074051290020177,2695,2198,0.8155844155844156,0.18441558441558437
108,lasso,1600,29,A033,lambda_min,0.074051290020177,2695,2299,0.8530612244897959,0.14693877551020407
108,lasso,2135,29,A034,lambda_min,0.074051290020177,2695,2144,0.7955473098330241,0.20445269016697587
108,lasso,2672,29,A035,lambda_min,0.074051290020177,2695,2283,0.8471243042671615,0.15287569573283855
108,lasso,1329,29,A036,lambda_min,0.074051290020177,2695,2286,0.8482374768089054,0.15176252319109462
108,lasso,9298,29,A037,lambda_min,0.074051290020177,2695,2207,0.8189239332096475,0.18107606679035249
108,lasso,7842,29,A038,lambda_min,0.074051290020177,2695,2339,0.8679035250463822,0.13209647495361776
108,lasso,7342,29,A039,lambda_min,0.074051290020177,2695,2181,0.8092764378478664,0.1907235621521336
108,lasso,4675,29,A040,lambda_min,0.074051290020177,2695,2357,0.874582560296846,0.125417439703154
108,lasso,1764,29,A041,lambda_min,0.074051290020177,2695,2321,0.8612244897959184,0.13877551020408163
108,lasso,6234,29,A042,lambda_min,0.074051290020177,2695,2294,0.8512059369202226,0.14879406307977738
108,lasso,2479,29,A043,lambda_min,0.074051290020177,2695,2287,0.84860853432282,0.15139146567717998
108,lasso,7151,29,A044,lambda_min,0.074051290020177,2695,2270,0.8423005565862709,0.1576994434137291
108,lasso,2274,29,A045,lambda_min,0.074051290020177,2695,2289,0.8493506493506493,0.1506493506493507
108,lasso,3554,29,A046,lambda_min,0.074051290020177,2695,2248,0.8341372912801485,0.16586270871985154
108,lasso,209,29,A047,lambda_min,0.074051290020177,2695,2201,0.8166975881261596,0.18330241187384044
108,lasso,4040,29,A048,lambda_min,0.074051290020177,2695,2260,0.8385899814471243,0.16141001855287573
