training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
108.0,1,1,10.0,TRUE,72091,2587,2162,0.8357170467723232,0.16428295322767683,1,72091
540.0,1,1,10.0,TRUE,87577,2155,1751,0.8125290023201857,0.18747099767981434,1,87577
1347.0,1,1,10.0,TRUE,76097,1348,1148,0.8516320474777448,0.1483679525222552,1,76097
108.0,2,1,10.0,TRUE,88610,2587,2080,0.8040201005025126,0.1959798994974874,2,88610
540.0,2,1,10.0,TRUE,45647,2155,1760,0.8167053364269141,0.18329466357308588,2,45647
1347.0,2,1,10.0,TRUE,16637,1348,1137,0.8434718100890207,0.15652818991097928,2,16637
108.0,3,1,10.0,TRUE,32508,2587,2009,0.7765751836103595,0.2234248163896405,3,32508
540.0,3,1,10.0,TRUE,50919,2155,1801,0.8357308584686775,0.16426914153132255,3,50919
1347.0,3,1,10.0,TRUE,72765,1348,1161,0.8612759643916914,0.1387240356083086,3,72765
108.0,4,1,10.0,TRUE,98965,2587,2021,0.7812137611132586,0.21878623888674142,4,98965
540.0,4,1,10.0,TRUE,3454,2155,1797,0.8338747099767981,0.16612529002320187,4,3454
1347.0,4,1,10.0,TRUE,15236,1348,1168,0.8664688427299704,0.13353115727002962,4,15236
108.0,5,1,10.0,TRUE,73560,2587,2158,0.8341708542713567,0.16582914572864327,5,73560
540.0,5,1,10.0,TRUE,114,2155,1835,0.851508120649652,0.14849187935034802,5,114
1347.0,5,1,10.0,TRUE,39115,1348,1080,0.8011869436201781,0.19881305637982194,5,39115
108.0,6,1,10.0,TRUE,46243,2587,2115,0.8175492848859683,0.18245071511403166,6,46243
540.0,6,1,10.0,TRUE,38809,2155,1722,0.7990719257540603,0.20092807424593973,6,38809
1347.0,6,1,10.0,TRUE,40242,1348,1104,0.8189910979228486,0.18100890207715137,6,40242
108.0,7,1,10.0,TRUE,17894,2587,2066,0.7986084267491302,0.20139157325086976,7,17894
540.0,7,1,10.0,TRUE,95148,2155,1755,0.814385150812065,0.18561484918793503,7,95148
1347.0,7,1,10.0,TRUE,45364,1348,1139,0.8449554896142433,0.15504451038575673,7,45364
108.0,8,1,10.0,TRUE,32669,2587,2112,0.8163896405102435,0.18361035948975646,8,32669
540.0,8,1,10.0,TRUE,96521,2155,1677,0.7781902552204176,0.22180974477958237,8,96521
1347.0,8,1,10.0,TRUE,70732,1348,1143,0.8479228486646885,0.15207715133531152,8,70732
108.0,9,1,10.0,TRUE,64439,2587,2082,0.8047931967529958,0.19520680324700423,9,64439
540.0,9,1,10.0,TRUE,38974,2155,1812,0.8408352668213457,0.15916473317865432,9,38974
1347.0,9,1,10.0,TRUE,69837,1348,1162,0.8620178041543026,0.13798219584569738,9,69837
108.0,10,1,10.0,TRUE,54392,2587,2072,0.8009277155005798,0.19907228449942016,10,54392
540.0,10,1,10.0,TRUE,22641,2155,1770,0.8213457076566125,0.17865429234338748,10,22641
1347.0,10,1,10.0,TRUE,48442,1348,1136,0.8427299703264095,0.1572700296735905,10,48442
108.0,11,1,10.0,TRUE,79277,2587,2089,0.8074990336296869,0.1925009663703131,11,79277
540.0,11,1,10.0,TRUE,599,2155,1848,0.8575406032482599,0.14245939675174013,11,599
1347.0,11,1,10.0,TRUE,18766,1348,1174,0.870919881305638,0.12908011869436198,11,18766
108.0,12,1,10.0,TRUE,68161,2587,1938,0.7491302667182064,0.25086973328179363,12,68161
540.0,12,1,10.0,TRUE,36998,2155,1815,0.8422273781902552,0.15777262180974483,12,36998
1347.0,12,1,10.0,TRUE,36150,1348,1154,0.8560830860534124,0.14391691394658757,12,36150
108.0,13,1,10.0,TRUE,86849,2587,2088,0.8071124855044453,0.19288751449555475,13,86849
540.0,13,1,10.0,TRUE,90383,2155,1803,0.8366589327146172,0.16334106728538278,13,90383
1347.0,13,1,10.0,TRUE,61719,1348,1142,0.8471810089020771,0.15281899109792285,13,61719
108.0,14,1,10.0,TRUE,13398,2587,2118,0.818708929261693,0.18129107073830697,14,13398
540.0,14,1,10.0,TRUE,78189,2155,1701,0.7893271461716937,0.21067285382830625,14,78189
1347.0,14,1,10.0,TRUE,42903,1348,1120,0.8308605341246291,0.16913946587537088,14,42903
108.0,15,1,10.0,TRUE,92689,2587,2158,0.8341708542713567,0.16582914572864327,15,92689
540.0,15,1,10.0,TRUE,77292,2155,1836,0.8519721577726218,0.1480278422273782,15,77292
1347.0,15,1,10.0,TRUE,25957,1348,1194,0.8857566765578635,0.1142433234421365,15,25957
108.0,16,1,10.0,TRUE,32109,2587,2235,0.8639350599149594,0.13606494008504055,16,32109
540.0,16,1,10.0,TRUE,6017,2155,1860,0.8631090487238979,0.13689095127610207,16,6017
1347.0,16,1,10.0,TRUE,4344,1348,1134,0.841246290801187,0.15875370919881304,16,4344
108.0,17,1,10.0,TRUE,5503,2587,2056,0.7947429454967143,0.20525705450328569,17,5503
540.0,17,1,10.0,TRUE,62524,2155,1794,0.8324825986078886,0.16751740139211135,17,62524
1347.0,17,1,10.0,TRUE,96399,1348,1092,0.8100890207715133,0.18991097922848665,17,96399
108.0,18,1,10.0,TRUE,82689,2587,2124,0.8210282180131426,0.17897178198685737,18,82689
540.0,18,1,10.0,TRUE,31487,2155,1838,0.8529002320185615,0.14709976798143853,18,31487
1347.0,18,1,10.0,TRUE,21292,1348,1148,0.8516320474777448,0.1483679525222552,18,21292
108.0,19,1,10.0,TRUE,73211,2587,2101,0.812137611132586,0.18786238886741402,19,73211
540.0,19,1,10.0,TRUE,49897,2155,1821,0.8450116009280743,0.15498839907192574,19,49897
1347.0,19,1,10.0,TRUE,72937,1348,1102,0.8175074183976261,0.18249258160237392,19,72937
108.0,20,1,10.0,TRUE,8030,2587,1817,0.7023579435639737,0.29764205643602626,20,8030
540.0,20,1,10.0,TRUE,43528,2155,1782,0.8269141531322506,0.17308584686774942,20,43528
1347.0,20,1,10.0,TRUE,23645,1348,1177,0.8731454005934718,0.1268545994065282,20,23645
108.0,21,1,10.0,TRUE,79110,2587,2123,0.820641669887901,0.179358330112099,21,79110
540.0,21,1,10.0,TRUE,25853,2155,1846,0.8566125290023202,0.1433874709976798,21,25853
1347.0,21,1,10.0,TRUE,98538,1348,1134,0.841246290801187,0.15875370919881304,21,98538
