training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
108.0,0.01,0.0,72091,12,7,Fold01,0.5833333333333334,0.41666666666666663
108.0,0.01,0.0,72091,10,6,Fold02,0.6,0.4
108.0,0.01,0.0,72091,10,6,Fold03,0.6,0.4
108.0,0.01,0.0,72091,11,6,Fold04,0.5454545454545454,0.4545454545454546
108.0,0.01,0.0,72091,12,7,Fold05,0.5833333333333334,0.41666666666666663
108.0,0.01,0.0,72091,10,6,Fold06,0.6,0.4
108.0,0.01,0.0,72091,10,6,Fold07,0.6,0.4
108.0,0.01,0.0,72091,12,7,Fold08,0.5833333333333334,0.41666666666666663
108.0,0.01,0.0,72091,10,6,Fold09,0.6,0.4
108.0,0.01,0.0,72091,11,6,Fold10,0.5454545454545454,0.4545454545454546
540.0,0.01,0.0,87577,54,31,Fold01,0.5740740740740741,0.42592592592592593
540.0,0.01,0.0,87577,54,31,Fold02,0.5740740740740741,0.42592592592592593
540.0,0.01,0.0,87577,55,32,Fold03,0.5818181818181818,0.4181818181818182
540.0,0.01,0.0,87577,54,31,Fold04,0.5740740740740741,0.42592592592592593
540.0,0.01,0.0,87577,53,31,Fold05,0.5849056603773585,0.41509433962264153
540.0,0.01,0.0,87577,54,32,Fold06,0.5925925925925926,0.40740740740740744
540.0,0.01,0.0,87577,54,31,Fold07,0.5740740740740741,0.42592592592592593
540.0,0.01,0.0,87577,54,31,Fold08,0.5740740740740741,0.42592592592592593
540.0,0.01,0.0,87577,54,32,Fold09,0.5925925925925926,0.40740740740740744
540.0,0.01,0.0,87577,54,31,Fold10,0.5740740740740741,0.42592592592592593
1347.0,0.01,0.0,76097,134,77,Fold01,0.5746268656716418,0.4253731343283582
1347.0,0.01,0.0,76097,135,78,Fold02,0.5777777777777777,0.4222222222222223
1347.0,0.01,0.0,76097,135,78,Fold03,0.5777777777777777,0.4222222222222223
1347.0,0.01,0.0,76097,135,77,Fold04,0.5703703703703704,0.4296296296296296
1347.0,0.01,0.0,76097,134,77,Fold05,0.5746268656716418,0.4253731343283582
1347.0,0.01,0.0,76097,135,77,Fold06,0.5703703703703704,0.4296296296296296
1347.0,0.01,0.0,76097,135,78,Fold07,0.5777777777777777,0.4222222222222223
1347.0,0.01,0.0,76097,135,78,Fold08,0.5777777777777777,0.4222222222222223
1347.0,0.01,0.0,76097,134,77,Fold09,0.5746268656716418,0.4253731343283582
1347.0,0.01,0.0,76097,135,78,Fold10,0.5777777777777777,0.4222222222222223
108.0,0.03,0.0,88610,11,5,Fold01,0.45454545454545453,0.5454545454545454
108.0,0.03,0.0,88610,12,6,Fold02,0.5,0.5
108.0,0.03,0.0,88610,10,5,Fold03,0.5,0.5
108.0,0.03,0.0,88610,11,5,Fold04,0.45454545454545453,0.5454545454545454
108.0,0.03,0.0,88610,12,6,Fold05,0.5,0.5
108.0,0.03,0.0,88610,11,5,Fold06,0.45454545454545453,0.5454545454545454
108.0,0.03,0.0,88610,10,5,Fold07,0.5,0.5
108.0,0.03,0.0,88610,11,5,Fold08,0.45454545454545453,0.5454545454545454
108.0,0.03,0.0,88610,10,5,Fold09,0.5,0.5
108.0,0.03,0.0,88610,10,5,Fold10,0.5,0.5
540.0,0.03,0.0,45647,54,29,Fold01,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,54,29,Fold02,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,54,29,Fold03,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,54,29,Fold04,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,53,29,Fold05,0.5471698113207547,0.4528301886792453
540.0,0.03,0.0,45647,54,29,Fold06,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,55,30,Fold07,0.5454545454545454,0.4545454545454546
540.0,0.03,0.0,45647,54,29,Fold08,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,54,29,Fold09,0.5370370370370371,0.4629629629629629
540.0,0.03,0.0,45647,54,29,Fold10,0.5370370370370371,0.4629629629629629
1347.0,0.03,0.0,16637,135,75,Fold01,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,135,75,Fold02,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,135,75,Fold03,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,134,75,Fold04,0.5597014925373134,0.4402985074626866
1347.0,0.03,0.0,16637,135,75,Fold05,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,133,74,Fold06,0.556390977443609,0.443609022556391
1347.0,0.03,0.0,16637,135,75,Fold07,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,135,75,Fold08,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,135,75,Fold09,0.5555555555555556,0.4444444444444444
1347.0,0.03,0.0,16637,135,75,Fold10,0.5555555555555556,0.4444444444444444
108.0,0.05,0.0,32508,10,5,Fold01,0.5,0.5
108.0,0.05,0.0,32508,10,5,Fold02,0.5,0.5
108.0,0.05,0.0,32508,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,0.05,0.0,32508,11,5,Fold04,0.45454545454545453,0.5454545454545454
108.0,0.05,0.0,32508,11,6,Fold05,0.5454545454545454,0.4545454545454546
108.0,0.05,0.0,32508,11,6,Fold06,0.5454545454545454,0.4545454545454546
108.0,0.05,0.0,32508,12,6,Fold07,0.5,0.5
108.0,0.05,0.0,32508,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,0.05,0.0,32508,10,5,Fold09,0.5,0.5
108.0,0.05,0.0,32508,11,5,Fold10,0.45454545454545453,0.5454545454545454
540.0,0.05,0.0,50919,54,30,Fold01,0.5555555555555556,0.4444444444444444
540.0,0.05,0.0,50919,54,31,Fold02,0.5740740740740741,0.42592592592592593
540.0,0.05,0.0,50919,55,31,Fold03,0.5636363636363636,0.4363636363636364
540.0,0.05,0.0,50919,54,31,Fold04,0.5740740740740741,0.42592592592592593
540.0,0.05,0.0,50919,54,31,Fold05,0.5740740740740741,0.42592592592592593
540.0,0.05,0.0,50919,54,31,Fold06,0.5740740740740741,0.42592592592592593
540.0,0.05,0.0,50919,54,30,Fold07,0.5555555555555556,0.4444444444444444
540.0,0.05,0.0,50919,55,31,Fold08,0.5636363636363636,0.4363636363636364
540.0,0.05,0.0,50919,53,30,Fold09,0.5660377358490566,0.4339622641509434
540.0,0.05,0.0,50919,53,30,Fold10,0.5660377358490566,0.4339622641509434
1347.0,0.05,0.0,72765,134,74,Fold01,0.5522388059701493,0.4477611940298507
1347.0,0.05,0.0,72765,135,74,Fold02,0.5481481481481482,0.45185185185185184
1347.0,0.05,0.0,72765,136,75,Fold03,0.5514705882352942,0.44852941176470584
1347.0,0.05,0.0,72765,135,75,Fold04,0.5555555555555556,0.4444444444444444
1347.0,0.05,0.0,72765,134,74,Fold05,0.5522388059701493,0.4477611940298507
1347.0,0.05,0.0,72765,135,74,Fold06,0.5481481481481482,0.45185185185185184
1347.0,0.05,0.0,72765,134,74,Fold07,0.5522388059701493,0.4477611940298507
1347.0,0.05,0.0,72765,134,74,Fold08,0.5522388059701493,0.4477611940298507
1347.0,0.05,0.0,72765,135,74,Fold09,0.5481481481481482,0.45185185185185184
1347.0,0.05,0.0,72765,135,74,Fold10,0.5481481481481482,0.45185185185185184
108.0,0.1,0.0,98965,10,6,Fold01,0.6,0.4
108.0,0.1,0.0,98965,11,6,Fold02,0.5454545454545454,0.4545454545454546
108.0,0.1,0.0,98965,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,0.1,0.0,98965,11,6,Fold04,0.5454545454545454,0.4545454545454546
108.0,0.1,0.0,98965,10,6,Fold05,0.6,0.4
108.0,0.1,0.0,98965,10,6,Fold06,0.6,0.4
108.0,0.1,0.0,98965,12,7,Fold07,0.5833333333333334,0.41666666666666663
108.0,0.1,0.0,98965,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,0.1,0.0,98965,11,7,Fold09,0.6363636363636364,0.36363636363636365
108.0,0.1,0.0,98965,11,6,Fold10,0.5454545454545454,0.4545454545454546
540.0,0.1,0.0,3454,54,31,Fold01,0.5740740740740741,0.42592592592592593
540.0,0.1,0.0,3454,54,32,Fold02,0.5925925925925926,0.40740740740740744
540.0,0.1,0.0,3454,55,32,Fold03,0.5818181818181818,0.4181818181818182
540.0,0.1,0.0,3454,54,32,Fold04,0.5925925925925926,0.40740740740740744
540.0,0.1,0.0,3454,54,32,Fold05,0.5925925925925926,0.40740740740740744
540.0,0.1,0.0,3454,54,32,Fold06,0.5925925925925926,0.40740740740740744
540.0,0.1,0.0,3454,53,31,Fold07,0.5849056603773585,0.41509433962264153
540.0,0.1,0.0,3454,54,31,Fold08,0.5740740740740741,0.42592592592592593
540.0,0.1,0.0,3454,54,32,Fold09,0.5925925925925926,0.40740740740740744
540.0,0.1,0.0,3454,54,32,Fold10,0.5925925925925926,0.40740740740740744
1347.0,0.1,0.0,15236,134,72,Fold01,0.5373134328358209,0.4626865671641791
1347.0,0.1,0.0,15236,135,73,Fold02,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,135,73,Fold03,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,135,73,Fold04,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,135,73,Fold05,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,135,73,Fold06,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,135,73,Fold07,0.5407407407407407,0.45925925925925926
1347.0,0.1,0.0,15236,134,72,Fold08,0.5373134328358209,0.4626865671641791
1347.0,0.1,0.0,15236,134,72,Fold09,0.5373134328358209,0.4626865671641791
1347.0,0.1,0.0,15236,135,73,Fold10,0.5407407407407407,0.45925925925925926
108.0,0.5,0.0,73560,11,6,Fold01,0.5454545454545454,0.4545454545454546
108.0,0.5,0.0,73560,10,5,Fold02,0.5,0.5
108.0,0.5,0.0,73560,12,6,Fold03,0.5,0.5
108.0,0.5,0.0,73560,12,6,Fold04,0.5,0.5
108.0,0.5,0.0,73560,11,6,Fold05,0.5454545454545454,0.4545454545454546
108.0,0.5,0.0,73560,10,5,Fold06,0.5,0.5
108.0,0.5,0.0,73560,11,5,Fold07,0.45454545454545453,0.5454545454545454
108.0,0.5,0.0,73560,10,5,Fold08,0.5,0.5
108.0,0.5,0.0,73560,11,6,Fold09,0.5454545454545454,0.4545454545454546
108.0,0.5,0.0,73560,10,5,Fold10,0.5,0.5
540.0,0.5,0.0,114,53,29,Fold01,0.5471698113207547,0.4528301886792453
540.0,0.5,0.0,114,54,30,Fold02,0.5555555555555556,0.4444444444444444
540.0,0.5,0.0,114,54,30,Fold03,0.5555555555555556,0.4444444444444444
