training_size,cost,gamma,param_type,trial_id,seeds,total,correct,accuracy,misclassification
108,10.0,0.006,minimum_error,A001,6029,2586,2255,0.8720030935808198,0.12799690641918016
108,10.0,0.006,minimum_error,A002,2718,2586,2281,0.8820572312451663,0.11794276875483367
108,10.0,0.006,minimum_error,A003,349,2586,2196,0.8491879350348028,0.15081206496519717
108,10.0,0.006,minimum_error,A004,7703,2586,2204,0.8522815158546017,0.14771848414539834
108,10.0,0.006,minimum_error,A005,2817,2586,2250,0.8700696055684455,0.12993039443155452
108,10.0,0.006,minimum_error,A006,3014,2586,2220,0.8584686774941995,0.14153132250580047
108,10.0,0.006,minimum_error,A007,8112,2586,2305,0.891337973704563,0.10866202629543698
108,10.0,0.006,minimum_error,A008,3207,2586,2189,0.8464810518174787,0.15351894818252132
108,10.0,0.006,minimum_error,A009,6281,2586,2222,0.8592420726991493,0.14075792730085068
108,10.0,0.006,minimum_error,A010,7089,2586,2216,0.8569218870843001,0.14307811291569994
108,10.0,0.006,minimum_error,A011,2254,2586,2285,0.8836040216550657,0.11639597834493431
108,10.0,0.006,minimum_error,A012,3860,2586,2229,0.8619489559164734,0.13805104408352664
108,10.0,0.006,minimum_error,A013,7474,2586,2242,0.8669760247486465,0.13302397525135345
108,10.0,0.006,minimum_error,A014,6835,2586,2237,0.8650425367362722,0.13495746326372782
108,10.0,0.006,minimum_error,A015,3867,2586,2224,0.860015467904099,0.139984532095901
108,10.0,0.006,minimum_error,A016,4344,2586,2254,0.871616395978345,0.12838360402165505
108,10.0,0.006,minimum_error,A017,464,2586,2161,0.8356535189481825,0.16434648105181748
108,10.0,0.006,minimum_error,A018,3815,2586,2225,0.8604021655065739,0.1395978344934261
108,10.0,0.006,minimum_error,A019,3672,2586,2172,0.839907192575406,0.16009280742459397
108,10.0,0.006,minimum_error,A020,4277,2586,2258,0.8731631863882444,0.12683681361175558
108,10.0,0.006,minimum_error,A021,8687,2586,2192,0.8476411446249034,0.15235885537509664
108,10.0,0.006,minimum_error,A022,8494,2586,2197,0.8495746326372776,0.15042536736272238
108,10.0,0.006,minimum_error,A023,6011,2586,2159,0.8348801237432328,0.16511987625676716
108,10.0,0.006,minimum_error,A024,9424,2586,2211,0.8549883990719258,0.1450116009280742
108,10.0,0.006,minimum_error,A025,3121,2586,2252,0.8708430007733952,0.12915699922660484
108,10.0,0.006,minimum_error,A026,8446,2586,2231,0.862722351121423,0.13727764887857696
108,10.0,0.006,minimum_error,A027,1231,2586,2281,0.8820572312451663,0.11794276875483367
108,10.0,0.006,minimum_error,A028,6539,2586,2223,0.8596287703016241,0.1403712296983759
108,10.0,0.006,minimum_error,A029,1658,2586,2232,0.8631090487238979,0.13689095127610207
108,10.0,0.006,minimum_error,A030,5265,2586,2285,0.8836040216550657,0.11639597834493431
108,10.0,0.006,minimum_error,A031,1648,2586,2292,0.8863109048723898,0.11368909512761016
108,10.0,0.006,minimum_error,A032,5195,2586,2184,0.8445475638051044,0.15545243619489557
108,10.0,0.006,minimum_error,A033,9267,2586,2245,0.8681361175560711,0.13186388244392888
108,10.0,0.006,minimum_error,A034,8891,2586,2221,0.8588553750966744,0.14114462490332558
108,10.0,0.006,minimum_error,A035,2941,2586,2186,0.8453209590100541,0.1546790409899459
